Professor Name,Affiliation,Paper Counts,Author URL
Nicholas Bambos,"Stanford University, USA",NeurIPS(23): 1,https://dblp.org/pid/b/NicholasBambos
Jose H. Blanchet,"Stanford University, Department of Management Science & Engineering, CA, USA",NeurIPS(23): 1,https://dblp.org/pid/75/5093
,,,
,,,
Karl Jansen,"University of Cyprus, Nicosia, Cyprus",NeurIPS(23): 1,https://dblp.org/pid/05/6534
Klaus-Robert Müller,"Technical University of Berlin, Germany",NeurIPS(23): 1,https://dblp.org/pid/m/KRMuller
,,,
Aaron Sidford,"Stanford University, CA, USA",NeurIPS(23): 1,https://dblp.org/pid/125/2326
,,,
Haiyang Yu,"Beijing University of Technology, Data Mining and Security Lab and Beijing Key Laboratory of Trusted Computing, China",NeurIPS(23): 1,https://dblp.org/pid/90/6643
,,,
,,,
Xiaoning Qian,Texas A&M Engineering,NeurIPS(23): 1,https://dblp.org/pid/62/4504
Shuiwang Ji,"Texas A&M University, College Station, TX, USA",NeurIPS(23): 1,https://dblp.org/pid/84/6405
James Chien-Mo Li,"National Taiwan University, Taipei, Taiwan",DAC(20): 1,https://dblp.org/pid/l/ChienMoJamesLi
,,,
Robert Wille,"Free University of Amsterdam, Netherlands",DAC(20): 5; DAC(21): 2; DAC(22): 4; DAC(23): 4; DAC(24): 2; ICCAD(20): 2,https://dblp.org/pid/h/WRvHage
,,,
,,,
,,,
,,,
Swaroop Ghosh,Unknown Affiliation,DAC(20): 1; DAC(21): 1; DAC(23): 1; ICCAD(20): 1; ICCAD(21): 2; ICCAD(22): 1,https://dblp.org/pid/91/2072
Gushu Li,Unknown Affiliation,DAC(20): 1; DAC(24): 1,https://dblp.org/pid/163/3591
Yufei Ding,"University of California at Santa Barbara, CA, USA",DAC(20): 1,https://dblp.org/pid/127/9591
,,,
Richard Kueng,"Johannes Kepler University Linz, Austria",DAC(21): 1,https://dblp.org/pid/95/11466
Weiwen Jiang,GMU,DAC(21): 1; DAC(23): 1; DAC(24): 1; ICCAD(21): 2; ICCAD(22): 2,https://dblp.org/pid/151/4529
Jinjun Xiong,"University at Buffalo, Buffalo, NY, USA",DAC(21): 1,https://dblp.org/pid/81/1130
Yiyu Shi 0001,"University of Notre Dame, Sustainable Computing Laboratory, USA",DAC(21): 1; DAC(23): 1; DAC(24): 1; ICCAD(21): 2; ICCAD(22): 1,https://dblp.org/pid/94/5536
Andrea Basso 0002,"University of Bristol, UK",DAC(21): 1,https://dblp.org/pid/24/4040-2
Sujoy Sinha Roy,"IAIK, TU Graz",DAC(21): 1,https://dblp.org/pid/31/9547
Torsten Hoefler,ETH Zürich,DAC(21): 1,https://dblp.org/pid/16/3869
Mingsheng Ying,"Centre for Quantum Software and Information, University of Technology Sydney, Australia",DAC(21): 1; ICCAD(22): 1,https://dblp.org/pid/13/6525
Yuan Feng 0001,"University of Technology Sydney, Center for Quantum Software and Information, NSW, Australia",DAC(21): 1; AAAI(23): 1; ICCAD(20): 1; ICCAD(22): 1; ICCAD(23): 1,https://dblp.org/pid/14/6701-1
Sanjiang Li,"University of Technology Sydney, Australia",DAC(21): 1; AAAI(23): 1; ICCAD(20): 1; ICCAD(22): 1; ICCAD(23): 1,https://dblp.org/pid/30/4051
,,,
Aydin Aysu,NCSU,DAC(21): 1,https://dblp.org/pid/39/9049
,,,
Nikolay V. Dokholyan,"The University of North Carolina at Chapel Hill, Department of Biochemistry and Biophysics, NC, USA",DAC(21): 1,https://dblp.org/pid/27/2633
,,,
Jie-Hong R. Jiang,"National Taiwan University, Taipei, Taiwan",DAC(21): 1; DAC(22): 1,https://dblp.org/pid/13/2622
Masaaki Kondo,Keio University,DAC(21): 1,https://dblp.org/pid/75/6674
Masamitsu Tanaka,"Nagoya University, Japan",DAC(21): 1,https://dblp.org/pid/20/726
Prabhat Mishra 0001,"University of Florida, Gainesville, USA",DAC(21): 1; DAC(23): 1,https://dblp.org/pid/m/PrabhatMishra
Jiafeng Xie,Villanova University,DAC(21): 1,https://dblp.org/pid/64/8798
,,,
Jidong Zhai,Tsinghua University.,DAC(21): 1,https://dblp.org/pid/72/7413
Weimin Zheng,Tsinghua University.,DAC(21): 1,https://dblp.org/pid/45/6990
Hanrui Wang 0002,UCLA,DAC(22): 2; DAC(23): 1; ICCAD(22): 1,https://dblp.org/pid/214/9819-2
Jiaqi Gu 0002,"University of Texas at Austin, Department of Electrical and Computer Engineering, Austin, TX, USA",DAC(22): 2; ICCAD(22): 1,https://dblp.org/pid/147/1190-2
Yongshan Ding 0001,"Yale University, New Haven, CT, USA",DAC(22): 2; ICCAD(22): 1,https://dblp.org/pid/64/3901-1
,,,
Frederic T. Chong,"University of Chicago, IL, USA",DAC(22): 1; ICCAD(22): 1,https://dblp.org/pid/c/FTChong
David Z. Pan,"University of Texas at Austin, USA",DAC(22): 2; ICCAD(22): 1,https://dblp.org/pid/p/DavidZhigangPan
Song Han 0003,"Massachusetts Institute of Technology, Cambridge, MA, USA",DAC(22): 2; DAC(23): 1; ICCAD(22): 1,https://dblp.org/pid/80/806-3
Giovanni De Micheli,"Swiss Federal Institute of Technology in Lausanne, Switzerland",DAC(22): 1,https://dblp.org/pid/d/GDeMicheli
,,,
,,,
Wayne Luk,"Imperial College London, UK",DAC(22): 1,https://dblp.org/pid/l/WayneLuk
Jae-Yoon Sim,Pohang University of Science and Technology,DAC(22): 1,https://dblp.org/pid/58/2400
Seokhyeong Kang,Pohang University of Science and Technology,DAC(22): 1; DAC(23): 1,https://dblp.org/pid/12/8003
,,,
,,,
Youzuo Lin,UNC,DAC(23): 1; DAC(24): 1; ICCAD(22): 1,https://dblp.org/pid/93/8684
,,,
,,,
Youtao Zhang,"University of Pittsburgh, Computer Science Department, PA, USA",DAC(23): 1; DAC(24): 1,https://dblp.org/pid/z/YoutaoZhang
Xulong Tang,"University of Pittsburgh, Computer Science Department, PA, USA",DAC(23): 1; DAC(24): 1,https://dblp.org/pid/66/10956
Nobuyuki Yoshikawa,Institute of Advanced Sciences,DAC(23): 1; ICCAD(23): 1,https://dblp.org/pid/90/6854
Tsung-Yi Ho,"Chinese University of Hong Kong, Hong Kong, SAR, China",DAC(23): 1; DAC(24): 1; ICCAD(21): 1; ICCAD(23): 1,https://dblp.org/pid/63/4181
,,,
,,,
Chun-Yao Wang,National Tsing Hua University,DAC(23): 1,https://dblp.org/pid/24/3981
Shigeru Yamashita,Ritsumeikan University,DAC(23): 1; ICCAD(23): 1,https://dblp.org/pid/84/878
,,,
Kai Ni 0004,"Rochester Institute of Technology, Department of Electrical and Microelectronic Engineering, NY, USA",DAC(23): 1,https://dblp.org/pid/46/3815-4
Vijaykrishnan Narayanan,"Penn State, University Park, USA",DAC(23): 1,https://dblp.org/pid/v/NarayananVijaykrishnan
Ahmedullah Aziz,"University of Tennessee, Knoxville",DAC(23): 1,https://dblp.org/pid/64/11473
Jason Cong,"University of California, Los Angeles, USA",DAC(23): 2; ICCAD(20): 1,https://dblp.org/pid/c/JasonCong
Song Bian 0001,"Beihang University, Beijing, China",DAC(23): 1,https://dblp.org/pid/179/7914
Jiliang Zhang 0002,"Hunan University, College of Computer Science and Electronic Engineering, Changsha, China",DAC(23): 1,https://dblp.org/pid/04/1262-2
Won Woo Ro,Yonsei University,DAC(23): 1,https://dblp.org/pid/r/WonWooRo
,,,
,,,
Zhiding Liang,Unknown Affiliation,DAC(23): 1; DAC(24): 1; ICCAD(21): 2; ICCAD(22): 1,https://dblp.org/pid/302/0791
,,,
,,,
,,,
Xuehai Qian,Unknown Affiliation,DAC(23): 1,https://dblp.org/pid/42/5189
,,,
,,,
Tirthak Patel,Rice,DAC(23): 1; AAAI(22): 1; AAAI(23): 1; ICCAD(20): 1,https://dblp.org/pid/208/1839
Devesh Tiwari,NEU,DAC(23): 1; AAAI(22): 1; AAAI(23): 1; ICCAD(20): 1,https://dblp.org/pid/76/9083
,,,
Qingfeng Wang,"Zhejiang University, State Key Laboratory of Fluid Power Transmission and Control, Hangzhou, China",DAC(23): 1,https://dblp.org/pid/18/8083-1
Ming Li,"Dublin City University, School of Electronic Engineering, Dublin, Ireland",DAC(23): 1,https://dblp.org/pid/18/5977
,,,
Johann Großschädl,University of Luxembourg,DAC(24): 1,https://dblp.org/pid/g/JGrossschadl
Thinh Hung Pham,"Nanyang Technological University, Singapore",DAC(24): 1,https://dblp.org/pid/227/2189
Peter Y. A. Ryan,University of Luxembourg,DAC(24): 1,https://dblp.org/pid/r/PeterYARyan
,,,
,,,
,,,
Yue Sun,"Soochow University, School of Rail Transportation, Suzhou, China",DAC(24): 1; ICCAD(21): 1,https://dblp.org/pid/117/3395
,,,
Alessandro Barenghi,"Polytechnic University of Milan, Italy",DAC(24): 1,https://dblp.org/pid/25/2565
Gerardo Pelosi,Politecnico di Milano,DAC(24): 1,https://dblp.org/pid/80/1811
Gang Liu 0025,"University of Notre Dame, Department of Computer Science and Engineering, IN, USA",DAC(24): 1,https://dblp.org/pid/37/2109-25
,,,
,,,
Costin Iancu,LBNL,DAC(24): 1,https://dblp.org/pid/97/662
Wibe Albert de Jong,LBNL,DAC(24): 1,https://dblp.org/pid/131/7393
,,,
Shengyu Zhang 0002,"Chinese University of Hong Kong, Shatin, Hong Kong",DAC(24): 1,https://dblp.org/pid/47/3459-2
Liqiang Lu,Zhejiang University,DAC(24): 1; ICCAD(23): 1,https://dblp.org/pid/202/5928
Size Zheng 0001,"Peking University, China",DAC(24): 1,https://dblp.org/pid/254/6617-1
,,,
Jianwei Yin,Zhejiang University,DAC(24): 1; ICCAD(23): 1,https://dblp.org/pid/74/3786
,,,
Lukasz Cincio,LANL,AAAI(20): 1,https://dblp.org/pid/254/1144
Yuri Alexeev,UChicago,AAAI(20): 1,https://dblp.org/pid/65/2523
Prasanna Balaprakash,ORNL,AAAI(20): 1,https://dblp.org/pid/51/3696
,,,
,,,
,,,
Jialin Zhang 0001,"Chinese Academy of Sciences, Institute of Computing Technology, Beijing, China",AAAI(20): 1; AAAI(23): 1,https://dblp.org/pid/91/2798-1
Xiaoming Sun 0001,"Chinese Academy of Sciences, Institute of Computing Technology, Key Lab of Network Data Science and Technology, Beijing, China",AAAI(20): 1; AAAI(23): 1,https://dblp.org/pid/87/285-1
,,,
,,,
Massimo Melucci,"University of Padua,",AAAI(21): 2,https://dblp.org/pid/34/194
Yijun Yu,"The Open University, Milton Keynes, UK",AAAI(21): 1,https://dblp.org/pid/74/6710
Dawei Song 0001,"Beijing Institute of Technology, School of Computer Science and Technology, Beijing, China",AAAI(21): 1,https://dblp.org/pid/47/6784-1
,,,
Jian-Yun Nie,"University of Montreal (UdeM), Department of Computer Science and Operations Research (DIRO), Montreal, QC, Canada",AAAI(21): 1,https://dblp.org/pid/n/JianYunNie
Yuexian Hou,Tianjin University,AAAI(21): 1,https://dblp.org/pid/73/4797
Inês Dutra,"University of Porto, Portugal",AAAI(21): 1,https://dblp.org/pid/62/1328
,,,
David van Dijk,Yale,AAAI(21): 1,https://dblp.org/pid/136/9930
Daniel Silver,BU,AAAI(22): 1; AAAI(23): 1,https://dblp.org/pid/275/9575
Mohsen Heidari,Indiana University Bloomington,AAAI(22): 1,https://dblp.org/pid/169/1844
Ananth Grama,"Purdue University, Center for Science of Information, West Lafayette, IN, USA",AAAI(22): 1,https://dblp.org/pid/g/AnanthGrama
Wojciech Szpankowski,"Purdue University, West Lafayette, USA",AAAI(22): 1,https://dblp.org/pid/s/WSzpankowski
,,,
,,,
Joongheon Kim,Korea University ,AAAI(23): 2,https://dblp.org/pid/69/4977
,,,
Li Shen 0008,"Peking University, Department of Computer Science, Beijing, China",AAAI(23): 1,https://dblp.org/pid/23/3439-8
Fabio A. González 0001,"National University of Colombia, Bogotá, Colombia",AAAI(23): 1,https://dblp.org/pid/34/2403
Zhijie Zhang,University of Arizona,AAAI(23): 1,https://dblp.org/pid/66/5132
,,,
Renato P. dos Santos,"Lutheran University of Brazil, Canoas",AAAI(23): 1,https://dblp.org/pid/146/0495
,,,
,,,
,,,
Lior Wolf,"Tel Aviv University, Blavatnik School of Computer Science, Israel",AAAI(24): 1,https://dblp.org/pid/83/4103
Jing Zhang,"Indiana University, Bloomington, IN, USA",AAAI(24): 1,https://dblp.org/pid/90/4994
Peng Zhang 0002,"Tianjin University, Key Laboratory of Cognitive Computing and Application, Tianjin, China",AAAI(24): 1,https://dblp.org/pid/21/1048-2
Shenggen Zheng,Pengcheng Lab,AAAI(24): 1,https://dblp.org/pid/56/10962
,,,
Hong Zhang,"Central South University, School of Business, Changsha, China",AAAI(24): 1,https://dblp.org/pid/29/2726-1
Dinesh Kumar Vishwakarma,"Delhi Technological University, Delhi",AAAI(24): 1,https://dblp.org/pid/214/0803
Mukesh Prasad,"University of Technology Sydney, Faculty of Engineering and Information Technology, Australia",AAAI(24): 1,https://dblp.org/pid/116/4606
Junwei Zhang,"Xidian University, School of Cyber Engineering and Shaanxi Key Laboratory of Network and System Security, Xian, China",AAAI(24): 1,https://dblp.org/pid/09/4697
Xin Wang,"Shaanxi Normal University, School of Physics and Information Technology, Xi'an, China",AAAI(24): 1,https://dblp.org/pid/81/3525
Anupam Chattopadhyay,"Nanyang Technological University, Singapore",ICCAD(20): 1; ICCAD(23): 1,https://dblp.org/pid/99/4535
Debapriya Basu Roy, IIT Kanpur,ICCAD(20): 1,https://dblp.org/pid/116/4686
,,,
Georg Sigl,"Technical University Munich, Germany",ICCAD(20): 1,https://dblp.org/pid/89/4621
,,,
,,,
Lei Yang 0018,"George Mason University, Department of Information Sciences and Technology, USA",ICCAD(21): 1,https://dblp.org/pid/50/2484-18
Shanglin Zhou,Fudan University,ICCAD(21): 1,https://dblp.org/pid/141/3378
Caiwen Ding,University of Minnesota,ICCAD(21): 1,https://dblp.org/pid/175/2489
,,,
Ilia Polian,"Stuttgart University, Germany",ICCAD(21): 1,https://dblp.org/pid/94/4552
,,,
,,,
,,,
Wai-Kei Mak,National Tsing Hua University,ICCAD(21): 1,https://dblp.org/pid/86/5539
Kathleen E. Hamilton,ORNL,ICCAD(22): 1,https://dblp.org/pid/198/5721
Yu Zhang 0086,"University of Science and Technology of China, Lab for Intelligent Networking and Knowledge Engineering, Hefei,China",ICCAD(22): 1,https://dblp.org/pid/50/671-86
,,,
Jun Li 0001,"Liaocheng University, School of Computer Science, China",ICCAD(22): 1,https://dblp.org/pid/04/7673-1
Xiangyang Li 0001,"University of Science and Technology of China, School of Computer Science and Technology, Hefei, China",ICCAD(22): 1,https://dblp.org/pid/l/XiangYangLi
,,,
Shao-Yun Fang,National Taiwan University of Science and Technology,ICCAD(22): 1,https://dblp.org/pid/53/8857
Francesco Regazzoni 0001,"University of Amsterdam, Amsterdam, The Netherlands",ICCAD(23): 1,https://dblp.org/pid/31/1489-1
Naina Gupta 0001,"Fraunhofer Singapore, Singapore",ICCAD(23): 1,https://dblp.org/pid/83/7953-1
,,,
Jaco van de Pol,"Aarhus University, Department of Computer Science, Aarhus, Denmark",ICCAD(23): 1,https://dblp.org/pid/p/JvdPol
Ying Wang 0001,"Fuzhou University, School of Economics and Management, China",ICCAD(23): 1,https://dblp.org/pid/59/605-1
Bing Li 0017,"Duke University, Durham, NC, USA",ICCAD(23): 1,https://dblp.org/pid/13/2692-17
Yinhe Han 0001,"Chinese Academy of Sciences, Institute of Computing Technology, Research Center for Intelligent Computing Systems, Beijing, China",ICCAD(23): 1,https://dblp.org/pid/32/2695-1
